ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-09-565-4,"ENCARNACION RODRIGUEZ, ELISIA",CARTA PARA EL ¨BENDITO¨ COVID-19,"ENCARNACION RODRIGUEZ, ELISIA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-566-1,"ENCARNACION RODRIGUEZ, ELISIA ",CARTA PARA EL ¨BENDITO¨ COVID-19,"ENCARNACION RODRIGUEZ, ELISIA (EDITOR LITERARIO)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-608-54-0,EDITORIAL ISLA NEGRA ,LA ESCRITURA DEL GREMLIN,"IRIZARRY, FEDERICO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9262-1-7,INSTITUTO TECNOLOGICO DE SANTO DOMINGO ,CRECIMIENTO Y DESARROLLO,"MORLA BAEZ, ELBI (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-567-8,"SANTANA, AMADO ",DICCIONARIO VILLEGAS,"VILLEGAS, VICTOR (AUTOR); NACIDIT-PERDOMO, YLONKA (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-069-8,"EDITORA BUHO, S.R.L. ",NIGUA: FUENTE DE LA HISTORIA,"DE LAS MERCEDES, ANDRES (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-21-125-2,CASA DUARTE,PLAN LECTOR,"GARCIA CARTAGENA, MANUEL (AUTOR); NUÑEZ FIDALGO, MARIA VIRTUDES (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-87-0,EDITORIAL SANTUARIO ,GOTHICARIUM,"EMANUEL, TRACY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-610-34-5,TRIBUNAL CONSTITUCIONAL DE LA REPUBLICA DOMINICANA,LEYES SOBRE SIMBOLOS PATRIOS,"TEJADA, LEONOR (COORDINADOR EDITORIAL); READ, ENRIQUE (DISEÑADOR); CASADO MEJIA, YISSEL (DISEÑADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-568-5,"THEN ROSARIO, LUZ ALICIA ",EL SUPER TONIN Y EL GATO,"THEN ROSARIO, LUZ ALICIA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-569-2,"THEN ROSARIO, LUZ ALICIA ",PAPA  MON Y BOCO EL PERRITO TIRA PULGON,"THEN ROSARIO, LUZ ALICIA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-570-8,"THEN ROSARIO, LUZ ALICIA ",UNA PATA FRATERNA,"THEN ROSARIO, LUZ ALICIA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-571-5,"THEN ROSARIO, LUZ ALICIA ",EL JARDIN DE LUZ Y SU PRINCESA FLAMBOYA N,"THEN ROSARIO, LUZ ALICIA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
